timestamp,profile,demand_kw,temperature_c,humidity_pct,is_weekend,hour,day_of_week
2026-03-01 00:00:00,campus,207.72,12.5,63.5,1,0,6
2026-03-01 01:00:00,campus,223.75,10.6,70.1,1,1,6
2026-03-01 02:00:00,campus,199.2,11.2,70.1,1,2,6
2026-03-01 03:00:00,campus,222.32,12.3,69.7,1,3,6
2026-03-01 04:00:00,campus,219.03,9.9,61.4,1,4,6
2026-03-01 05:00:00,campus,216.11,10.5,74.2,1,5,6
2026-03-01 06:00:00,campus,180.66,14.1,60.5,1,6,6
2026-03-01 07:00:00,campus,217.3,14.2,66.7,1,7,6
2026-03-01 08:00:00,campus,209.79,13.7,62.7,1,8,6
2026-03-01 09:00:00,campus,196.86,16.8,58.4,1,9,6
2026-03-01 10:00:00,campus,204.15,16.9,59.0,1,10,6
2026-03-01 11:00:00,campus,227.25,18.3,56.5,1,11,6
2026-03-01 12:00:00,campus,258.11,20.6,57.9,1,12,6
2026-03-01 13:00:00,campus,267.82,18.3,59.9,1,13,6
2026-03-01 14:00:00,campus,265.62,19.2,51.8,1,14,6
2026-03-01 15:00:00,campus,291.06,21.2,58.5,1,15,6
2026-03-01 16:00:00,campus,256.45,20.3,54.8,1,16,6
2026-03-01 17:00:00,campus,275.96,21.7,48.9,1,17,6
2026-03-01 18:00:00,campus,273.51,18.9,57.0,1,18,6
2026-03-01 19:00:00,campus,299.15,16.9,60.9,1,19,6
2026-03-01 20:00:00,campus,275.03,19.8,65.5,1,20,6
2026-03-01 21:00:00,campus,308.39,15.7,62.0,1,21,6
2026-03-01 22:00:00,campus,256.8,14.5,62.6,1,22,6
2026-03-01 23:00:00,campus,233.23,10.9,62.8,1,23,6
2026-03-02 00:00:00,campus,322.19,11.0,68.7,0,0,0
2026-03-02 01:00:00,campus,310.67,11.0,67.5,0,1,0
2026-03-02 02:00:00,campus,332.69,8.6,61.9,0,2,0
2026-03-02 03:00:00,campus,325.15,10.6,65.5,0,3,0
2026-03-02 04:00:00,campus,337.28,9.4,72.4,0,4,0
2026-03-02 05:00:00,campus,343.07,10.4,73.1,0,5,0
2026-03-02 06:00:00,campus,326.12,10.9,70.2,0,6,0
2026-03-02 07:00:00,campus,354.63,15.9,57.6,0,7,0
2026-03-02 08:00:00,campus,347.87,14.5,61.3,0,8,0
2026-03-02 09:00:00,campus,401.47,14.5,61.3,0,9,0
2026-03-02 10:00:00,campus,439.04,18.9,46.6,0,10,0
2026-03-02 11:00:00,campus,488.81,17.2,59.5,0,11,0
2026-03-02 12:00:00,campus,564.8,20.6,48.8,0,12,0
2026-03-02 13:00:00,campus,570.31,18.3,61.6,0,13,0
2026-03-02 14:00:00,campus,606.81,19.9,50.9,0,14,0
2026-03-02 15:00:00,campus,620.04,22.4,53.4,0,15,0
2026-03-02 16:00:00,campus,556.44,23.0,40.2,0,16,0
2026-03-02 17:00:00,campus,555.22,21.5,55.8,0,17,0
2026-03-02 18:00:00,campus,537.63,20.1,53.5,0,18,0
2026-03-02 19:00:00,campus,518.03,18.6,48.8,0,19,0
2026-03-02 20:00:00,campus,506.17,15.4,63.9,0,20,0
2026-03-02 21:00:00,campus,458.77,15.0,66.9,0,21,0
2026-03-02 22:00:00,campus,399.74,13.8,62.9,0,22,0
2026-03-02 23:00:00,campus,349.46,14.7,63.0,0,23,0
2026-03-03 00:00:00,campus,337.25,12.4,65.6,0,0,1
2026-03-03 01:00:00,campus,321.46,8.3,66.1,0,1,1
2026-03-03 02:00:00,campus,302.74,10.8,59.4,0,2,1
2026-03-03 03:00:00,campus,331.54,9.6,74.5,0,3,1
2026-03-03 04:00:00,campus,333.73,9.3,73.7,0,4,1
2026-03-03 05:00:00,campus,310.07,11.9,63.0,0,5,1
2026-03-03 06:00:00,campus,340.75,13.5,64.9,0,6,1
2026-03-03 07:00:00,campus,321.21,14.6,63.8,0,7,1
2026-03-03 08:00:00,campus,362.74,13.3,69.5,0,8,1
2026-03-03 09:00:00,campus,400.43,15.7,65.1,0,9,1
2026-03-03 10:00:00,campus,428.19,18.2,60.9,0,10,1
2026-03-03 11:00:00,campus,492.83,20.6,53.9,0,11,1
2026-03-03 12:00:00,campus,526.34,19.7,56.8,0,12,1
2026-03-03 13:00:00,campus,578.17,21.1,50.4,0,13,1
2026-03-03 14:00:00,campus,607.87,20.3,51.8,0,14,1
2026-03-03 15:00:00,campus,572.47,20.4,57.9,0,15,1
2026-03-03 16:00:00,campus,598.0,23.2,59.5,0,16,1
2026-03-03 17:00:00,campus,551.66,23.4,41.6,0,17,1
2026-03-03 18:00:00,campus,505.64,20.3,47.9,0,18,1
2026-03-03 19:00:00,campus,518.08,20.7,53.2,0,19,1
2026-03-03 20:00:00,campus,508.25,18.3,58.4,0,20,1
2026-03-03 21:00:00,campus,461.22,15.2,63.2,0,21,1
2026-03-03 22:00:00,campus,395.11,15.1,66.2,0,22,1
2026-03-03 23:00:00,campus,359.96,15.5,59.0,0,23,1
2026-03-04 00:00:00,campus,317.34,11.9,60.2,0,0,2
2026-03-04 01:00:00,campus,302.87,13.4,65.6,0,1,2
2026-03-04 02:00:00,campus,312.78,6.5,76.6,0,2,2
2026-03-04 03:00:00,campus,349.93,11.5,67.3,0,3,2
2026-03-04 04:00:00,campus,300.26,10.6,70.1,0,4,2
2026-03-04 05:00:00,campus,337.7,10.6,65.7,0,5,2
2026-03-04 06:00:00,campus,335.51,12.1,60.1,0,6,2
2026-03-04 07:00:00,campus,322.04,10.3,70.6,0,7,2
2026-03-04 08:00:00,campus,361.14,14.4,60.2,0,8,2
2026-03-04 09:00:00,campus,412.67,16.8,52.0,0,9,2
2026-03-04 10:00:00,campus,407.8,20.0,52.0,0,10,2
